Frame,min_x,min_y,max_x,max_y
0,254.18540954589844,169.27753686904907,839.8738288879395,346.4448881149292
4,263.1925106048584,164.40794348716736,848.5996055603027,356.0450291633606
8,274.0532398223877,160.3710150718689,854.7661972045898,365.34464478492737
12,286.5812015533447,157.33885288238525,857.9143524169922,373.93927931785583
16,300.5101203918457,155.43901205062866,857.6933670043945,381.4307051897049
20,315.5118656158447,154.74111199378967,853.908634185791,387.4738025665283
24,330.95709800720215,154.18647408485413,847.324390411377,393.0972683429718
28,346.86856269836426,154.61925387382507,837.3958969116211,397.2166585922241
32,362.95918464660645,156.20868802070618,824.2448616027832,399.47217643260956
36,378.89119148254395,158.8379716873169,808.333625793457,399.8984867334366
40,394.3373394012451,160.88892817497253,791.1923217773438,400.69183588027954
44,409.3431758880615,163.78130435943604,772.1496963500977,399.9583214521408
48,423.6911201477051,167.44773387908936,751.7662811279297,397.7732115983963
52,437.43149757385254,169.97344136238098,731.6318321228027,397.0199990272522
56,450.53844451904297,173.17786574363708,710.7425308227539,395.0905305147171
60,435.3382873535156,173.29811453819275,690.5941200256348,398.83510887622833
64,419.7481155395508,171.97338223457336,670.3154182434082,405.38622200489044
68,404.5330810546875,168.4875190258026,664.3628883361816,415.35784363746643
72,389.86976623535156,164.00567650794983,675.8842849731445,427.0530930161476
76,375.3372859954834,158.20045351982117,688.1260871887207,441.19646430015564
80,360.9740924835205,150.89904069900513,701.2144660949707,458.13023686408997
84,346.499605178833,142.83065557479858,714.9986457824707,476.8162550032139
88,331.4033889770508,134.45688486099243,729.6010208129883,496.69509306550026
92,315.6184673309326,125.65271615982056,745.2140235900879,518.0092522501945
96,298.8552761077881,116.8755841255188,761.8917846679688,540.1243756848271
100,281.0056972503662,108.49276900291443,779.6322441101074,562.469065412879
104,261.99448585510254,100.66124439239502,798.592529296875,584.8526957631111
108,242.00122833251953,94.36347126960754,818.2884407043457,605.5687974393368
112,220.99189281463623,89.82514142990112,838.8543891906738,624.4045150279999
116,199.73705291748047,88.60060572624207,859.0471458435059,638.5923358798027
120,178.55270862579346,91.34366869926453,878.4096336364746,647.3093354701996
124,158.9822244644165,99.94953632354736,894.6620750427246,647.2691667079926
128,142.06698417663574,115.29239416122437,906.2529373168945,637.341206073761
132,130.18391132354736,138.85703802108765,909.7917366027832,614.8762625455856
136,124.82196807861328,170.4909360408783,903.2080078125,580.163137614727
140,110.90903520584106,209.3631935119629,884.0050506591797,533.8739519566298
144,77.61966705322266,212.49091744422913,852.3571014404297,530.2487614005804
148,56.82133197784424,172.87331700325012,836.0148811340332,577.956772595644
152,48.54512572288513,140.07043719291687,831.8048286437988,614.7449979186058
156,50.86004376411438,115.23062825202942,820.6780242919922,639.3171438574791
160,61.63520336151123,98.6361014842987,804.1744422912598,651.2469202280045
164,77.42890119552612,88.73260259628296,784.6532249450684,653.2630026340485
168,96.59183263778687,84.72506046295166,763.223934173584,646.4143896102905
172,117.3121976852417,85.1746416091919,741.097240447998,633.0249309539795
176,138.19324493408203,88.46168875694275,719.1085624694824,615.7714256644249
180,158.79937648773193,93.95386576652527,697.5681495666504,595.6408126652241
184,178.69428634643555,100.79639554023743,676.7050552368164,574.0613360702991
188,197.67778873443604,108.31175208091736,656.5453147888184,552.144998498261
192,215.6982421875,115.9551465511322,636.9633293151855,530.7507240772247
196,232.7916669845581,123.2815682888031,617.7326774597168,510.53805962204933
200,249.0549087524414,129.95025873184204,598.5765838623047,491.9632579386234
204,264.6540069580078,135.76459050178528,579.2071723937988,475.2195507287979
208,275.87791442871094,140.41315913200378,559.346923828125,460.65339356660843
212,251.16190910339355,144.25683975219727,538.7067031860352,447.5085121393204
216,226.47743225097656,147.1171259880066,517.0281600952148,436.2172919511795
220,202.18212604522705,145.18136501312256,524.6460914611816,435.14490991830826
224,178.6882781982422,143.4216320514679,541.3177871704102,433.75038117170334
228,156.42645835876465,141.936514377594,558.4601211547852,431.78759157657623
232,135.84732055664062,140.82138061523438,576.0273742675781,429.0419536828995
236,117.41756916046143,140.18704891204834,593.9301681518555,425.3081899881363
240,101.50043964385986,140.0694715976715,612.0615005493164,420.52115499973297
244,88.3035135269165,140.41837334632874,630.3208923339844,414.7618702054024
248,78.02555322647095,141.24337792396545,648.5802841186523,408.0535823106766
252,70.75829029083252,142.5214397907257,666.7133331298828,400.4849088191986
256,66.53380393981934,144.23009276390076,684.5844841003418,392.16001331806183
260,65.33596515655518,146.35424137115479,702.0438194274902,383.18758964538574
264,67.1040415763855,148.88625741004944,718.9237403869629,373.6810952425003
268,71.73348426818848,151.8243384361267,735.0399971008301,363.7573993206024
272,79.07918930053711,155.17067313194275,750.1914596557617,353.53686332702637
276,88.95853042602539,158.92918825149536,764.1647529602051,343.1412649154663
