Frame,min_x,min_y,max_x,max_y
0,104.00253295898438,162.66600966453552,672.6558494567871,368.43749463558197
4,97.92795896530151,157.77742624282837,662.1219062805176,379.019678235054
8,94.92934226989746,153.77712607383728,649.7429466247559,389.126740694046
12,95.54362535476685,150.87039470672607,635.6886863708496,398.274387717247
16,100.17789602279663,149.22048211097717,620.2173614501953,405.98254948854446
20,109.03706073760986,148.92327189445496,603.6644554138184,411.8427550792694
24,120.6846284866333,148.38585376739502,586.8041610717773,417.78141528367996
28,136.52280807495117,149.2951226234436,569.3408203125,421.4667946100235
32,156.1399269104004,151.60582423210144,551.6791534423828,422.77880519628525
36,178.45848083496094,154.65546369552612,534.250316619873,422.59927690029144
40,202.37643241882324,157.52447247505188,517.2036552429199,422.3871275782585
44,228.4500503540039,159.69239473342896,530.4643821716309,424.33533668518066
48,255.24121284484863,159.27136301994324,552.2145652770996,431.79456800222397
52,270.87944984436035,158.3901286125183,572.545051574707,439.6699547767639
56,258.7119770050049,158.21500182151794,590.8771133422852,445.9058251976967
60,246.17857933044434,156.39392137527466,608.5085105895996,454.8942455649376
64,234.32554721832275,154.55407619476318,624.8193740844727,463.77409279346466
68,221.9566011428833,151.5251648426056,640.7728958129883,474.9433019757271
72,208.7805461883545,147.03192830085754,656.4832305908203,489.010556191206
76,195.201416015625,142.15145587921143,672.0083427429199,504.1464225947857
80,180.86580276489258,136.7120325565338,687.6585388183594,520.785004645586
84,165.67254066467285,130.84665298461914,703.5555839538574,538.7400348717347
88,150.17812728881836,125.69124341011047,719.5941352844238,555.9786158055067
92,134.1985273361206,121.21825218200684,735.8949279785156,572.6288654655218
96,118.077392578125,118.11016201972961,752.3206329345703,587.5141498446465
100,102.669997215271,117.35519528388977,768.3456802368164,598.8356213271618
104,87.8556489944458,119.1001546382904,784.1362953186035,606.673044115305
108,75.57675361633301,124.96260523796082,798.4248161315918,608.0830666422844
112,66.60545825958252,135.5040407180786,810.8172798156738,602.4967159330845
116,62.9593563079834,151.80811643600464,820.0368690490723,588.1965360045433
120,66.69289827346802,174.52664136886597,824.7829055786133,564.2356460541487
124,79.13437128067017,203.49726676940918,832.9289245605469,531.097001619637
128,102.30754852294922,229.52347040176392,864.2734909057617,500.160598307848
132,132.15409755706787,193.05010557174683,887.8215408325195,546.9824767112732
136,131.14402770996094,159.3211555480957,901.6483497619629,587.9797799885273
140,137.49379634857178,130.49562692642212,905.5143356323242,620.1574489474297
144,149.97133255004883,107.59013056755066,900.9311485290527,642.5210291147232
148,167.65953540802002,91.2877607345581,889.0660858154297,654.0950962901115
152,188.8958501815796,81.18013501167297,872.0986175537109,655.8644449710846
156,212.02717781066895,76.03885531425476,852.3070335388184,650.122637450695
160,236.19184970855713,75.18903493881226,830.8218383789062,637.9810336232185
164,260.55667877197266,77.56217837333679,808.8004302978516,621.2940752506256
168,284.6267509460449,82.19285130500793,786.9895362854004,601.7026345431805
172,308.19047927856445,88.25733661651611,765.8121299743652,580.5694238841534
176,331.2613105773926,95.07070541381836,745.4564666748047,558.9800720661879
180,354.0186882019043,102.07419991493225,725.9488677978516,537.765568094328
184,376.75023078918457,108.83668184280396,707.1988677978516,517.505269870162
188,399.79708671569824,115.08723735809326,699.0135955810547,498.4836168587208
192,423.5328197479248,120.45433759689331,725.9240913391113,481.0949242115021
196,445.2087879180908,122.75454640388489,752.7189445495605,470.0227251648903
200,427.14786529541016,120.91415405273438,778.886547088623,467.92784214019775
204,408.658390045166,119.38368558883667,803.9773750305176,465.32973915338516
208,389.71858978271484,118.22777152061462,827.5319480895996,461.9894152879715
212,370.3802490234375,117.59092926979065,848.9843559265137,457.59174048900604
216,350.7684516906738,117.65684723854065,867.7341842651367,451.8231135606766
220,331.02338790893555,118.47506046295166,883.3538246154785,444.6130621433258
224,311.30807876586914,120.05499958992004,895.5337142944336,435.99692702293396
228,291.7925262451172,122.36570119857788,904.1100311279297,426.10899835824966
232,272.64018058776855,125.34063577651978,909.0689849853516,415.1623025536537
236,253.99927139282227,128.88923048973083,910.5263900756836,403.41545820236206
240,236.0071563720703,132.9188847541809,908.679084777832,391.128950715065
244,218.80738735198975,137.35630989074707,903.7511444091797,378.530877828598
248,202.50941276550293,142.09197521209717,896.0501861572266,365.864360332489
252,187.23708629608154,147.05294609069824,885.8664321899414,353.3070355653763
256,173.2482147216797,152.31688857078552,873.3225631713867,340.89561223983765
260,160.75863361358643,157.89452075958252,858.6447715759277,328.7232059240341
264,149.9978542327881,163.8049614429474,842.0631408691406,316.86728954315186
268,141.19810581207275,170.06977558135986,836.7017555236816,305.3937005996704
272,134.5823049545288,176.70798540115356,836.4213180541992,294.3583792448044
276,130.34936428070068,183.73355984687805,833.4299468994141,283.80657970905304
280,128.3512830734253,184.4464910030365,828.2522964477539,283.2366532087326
284,128.9395809173584,178.48947644233704,820.8906555175781,293.26516449451447
288,132.20808506011963,173.05620074272156,811.5845489501953,303.3642929792404
292,130.81502437591553,168.07723760604858,800.6297492980957,313.4901362657547
296,118.62500667572021,163.47025394439697,788.3205986022949,323.6130827665329
300,108.38747262954712,159.0608310699463,775.0044822692871,333.783198595047
304,99.89768743515015,154.5557177066803,761.0787391662598,344.18090522289276
308,93.4227204322815,150.10190963745117,746.5445137023926,354.684602022171
312,88.92558574676514,145.6196165084839,731.5830230712891,365.33617973327637
316,86.36349678039551,141.0491967201233,716.3319396972656,376.17519557476044
